comp,season,round,date,home,away,home_score,away_score,neutral,match_id,result
world_cup,1930,Group stage,13/07/1930,USA,Belgium,3,0,1,cd35753f9be2,H
world_cup,1930,Group stage,13/07/1930,France,Mexico,4,1,1,139306fd16a2,H
world_cup,1930,Group stage,14/07/1930,Yugoslavia,Brazil,2,1,1,43cf841fa337,H
world_cup,1930,Group stage,14/07/1930,Romania,Peru,3,1,1,6702a75108b6,H
world_cup,1930,Group stage,15/07/1930,Argentina,France,1,0,1,5e907ecf93b0,H
world_cup,1930,Group stage,16/07/1930,Chile,Mexico,3,0,1,ea10634e8e9b,H
world_cup,1930,Group stage,17/07/1930,Yugoslavia,Bolivia,4,0,1,4e5fb1fd90a8,H
world_cup,1930,Group stage,17/07/1930,USA,Paraguay,3,0,1,e25f97378bda,H
world_cup,1930,Group stage,18/07/1930,Uruguay,Peru,1,0,1,4805fa1b00a2,H
world_cup,1930,Group stage,19/07/1930,Chile,France,1,0,1,9d1bcb4c7bdb,H
world_cup,1930,Group stage,19/07/1930,Argentina,Mexico,6,3,1,569f2eb5b517,H
world_cup,1930,Group stage,20/07/1930,Brazil,Bolivia,4,0,1,f18fd8adb90e,H
world_cup,1930,Group stage,20/07/1930,Paraguay,Belgium,1,0,1,c2aea7aed501,H
world_cup,1930,Group stage,21/07/1930,Uruguay,Romania,4,0,1,5a11c381ce42,H
world_cup,1930,Group stage,22/07/1930,Argentina,Chile,3,1,1,8cfee73b375f,H
world_cup,1930,Semi-finals,26/07/1930,Argentina,USA,6,1,1,b88f73272385,H
world_cup,1930,Semi-finals,27/07/1930,Uruguay,Yugoslavia,6,1,1,01b77922c59f,H
world_cup,1930,Final,30/07/1930,Uruguay,Argentina,4,2,1,ff629329b85b,H
world_cup,1934,Round of 16,27/05/1934,Sweden,Argentina,3,2,1,f9c2af28aa4d,H
world_cup,1934,Round of 16,27/05/1934,Germany,Belgium,5,2,1,4266cb58034d,H
world_cup,1934,Round of 16,27/05/1934,Italy,USA,7,1,1,51727878283f,H
world_cup,1934,Round of 16,27/05/1934,Spain,Brazil,3,1,1,5cbc37a5e190,H
world_cup,1934,Round of 16,27/05/1934,Czechoslovakia,Romania,2,1,1,87d2da81ca99,H
world_cup,1934,Round of 16,27/05/1934,Austria,France,3,2,1,88ee7819e8ae,H
world_cup,1934,Round of 16,27/05/1934,Hungary,Egypt,4,2,1,c6b48431f439,H
world_cup,1934,Round of 16,27/05/1934,Switzerland,Netherlands,3,2,1,b0016259c9b2,H
world_cup,1934,Quarter-finals,31/05/1934,Czechoslovakia,Switzerland,3,2,1,5006a5d53a61,H
world_cup,1934,Quarter-finals,31/05/1934,Austria,Hungary,2,1,1,4b02706b0c61,H
world_cup,1934,Quarter-finals,31/05/1934,Germany,Sweden,2,1,1,59b164ecde00,H
world_cup,1934,Quarter-finals,31/05/1934,Italy,Spain,1,1,1,45799d839f1f,D
world_cup,1934,Quarter-finals,1/6/1934,Italy,Spain,1,0,1,308ce3f1d111,H
world_cup,1934,Semi-finals,3/6/1934,Czechoslovakia,Germany,3,1,1,7f63482da0c8,H
world_cup,1934,Semi-finals,3/6/1934,Italy,Austria,1,0,1,0f14a78bf313,H
world_cup,1934,Third-place match,7/6/1934,Germany,Austria,3,2,1,24fb4ea5bf31,H
world_cup,1934,Final,10/6/1934,Italy,Czechoslovakia,2,1,1,05bc2709a404,H
world_cup,1938,Round of 16,4/6/1938,Switzerland,Germany,1,1,1,66c672fdcb9a,D
world_cup,1938,Round of 16,5/6/1938,Czechoslovakia,Netherlands,3,0,1,ff066529e72d,H
world_cup,1938,Round of 16,5/6/1938,Brazil,Poland,6,5,1,24db9f06ac2d,H
